title,genres,description
Destroy All Humans!,"Action, Adventure","The cult-classic returns! Terrorize the people of 1950s Earth in the role of the evil alien Crypto-137. Harvest DNA and bring down the US government in the remake of the legendary alien invasion action adventure. Annihilate puny humans using an assortment of alien weaponry and psychic abilities. Reduce their cities to rubble with your flying Saucer! One giant step on mankind! Experience the evil side of a 50s alien invasion story (Re)Discover why this game is considered one of the funniest ever created Faithfully rebuilt from scratch in new galactic glory Enjoy Crypto's unique weaponry like the Anal Probe Gun Pose as pathetic humans to infiltrate their fragile democracy Use psychokinesis to send enemies flying or bombard them with random objects Freely traverse explorable cities from 50s America using your jetpack Obliterate humanity's primitive architecture with your flying saucer Includes the restored, much-rumored, never before seen: Lost Mission of Area 42!"
The Stanley Parable: Ultra Deluxe,"Adventure, Casual, Indie","The Stanley Parable: Ultra Deluxe is a first person exploration game. It is an expanded re-imagining of the critically acclaimed, award winning indie game The Stanley Parable from 2013. When a simple-minded individual named Stanley discovers that the co-workers in his office have mysteriously vanished, he sets off to find answers. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will have your choices taken from you. The game will end, the game will never end. Contradiction follows contradiction, the rules of how games should work are broken, then broken again. You are not here to win. The Stanley Parable is a game that plays you. What's New? Everything that was in the original Stanley Parable is here, preserved just like it was back in 2013. But The Stanley Parable: Ultra Deluxe also dramatically expands the world of the original game with new content, new choices, and new secrets to uncover. The labyrinth has just gotten bigger. In addition, the game has been visually upgraded to reflect modern technology while faithfully preserving the tone of the original game. Accessibility features have also been added to the game, including localization of in-world text, colorblind options, and content warnings. And just as before, the impeccable voicework of Kevan Brighting will accompany you every step of the way. In The Stanley Parable: Ultra Deluxe, everything you remember has been recreated, yet it's different somehow. We've been here before, haven't we? Is Stanley still the same as he was back then? Or is it you who has changed?"
Prey,"Action, Adventure","Digital Deluxe Edition Prey Digital Deluxe includes Prey, Prey: Mooncrash, and Prey: Typhon Hunter- the brand new multiplayer update. About the Game Story In Prey, you awaken aboard Talos I, a space station orbiting the moon in the year 2032. You are the key subject of an experiment meant to alter humanity forever – but things have gone terribly wrong. The space station has been overrun by hostile aliens and you are now being hunted. As you dig into the dark secrets of Talos I and your own past, you must survive using the tools found on the station -- your wits, weapons, and mind-bending abilities. The fate of the Talos I and everyone aboard is in your hands. Features Sci-fi Thriller Nothing is as it seems aboard Talos I. As Morgan Yu, set out to unravel the clues you've left behind for yourself, and discover the truth about your past. What role will you play in TranStar’s plans, and the mysterious threat ravaging the station? Singular Setting Orbiting the Moon, the Talos I space station symbolizes the height of private space enterprise. Explore a lavish craft designed to reflect corporate luxury of the 1960s, and navigate interconnected, non-linear pathways built to hide countless secrets. Unimaginable Threat The shadowy extraterrestrial presence infesting Talos I is a living ecology bent on annihilating its prey. It’s up to you, one of the last remaining survivors aboard the station, to end the deadly attack of these haunting predators. Play Your Way Gain alien abilities to develop a distinct combination of powers and upgrade your unique skills. Craft increasingly useful items with the blueprints, gadgets and tools on board the station to overcome dangerous obstacles in your way. Survive unprecedented threats with your wits and ability to improvise."
Magic Lantern,"Adventure, Free To Play, Simulation","Meet the heroes of The Magic Lantern and immerse yourself in a wonderful fairy-tale world. Kate and her film projector, the Magic Lantern, are waiting for you in the virtual room, ready to whisk you away on a captivating journey. Just choose a story and start the projector! Our stories are well-known around the world, and have been specially adapted for preschool-aged children. These are tales that have stood the test of time, and they offer important life lessons about being kind, understanding and helpful, having courage, and doing the right thing. And if you don’t feel like watching a story, there are plenty of other things to do here! DETAILS: - Watch beautifully told, uplifting stories, treasured by generations of children: Alice in Wonderland , The War of the Worlds and Little Mowgli . - Explore the room and rearrange objects any way you like. The size of your actual room won’t limit you. You can play Magic Lantern VR wherever you are. - Darts, balls, toy cars, blocks, stuffed animals, a globe and pictures appear in the game as interactive objects – toys you can play with but never break or lose. - Draw on the easel and let your imagination run free – your paint will never dry out, and your clothes won’t get dirty. - Try controlling a toy cat, directing it using a laser pointer. - Choose another language in the game setup for a fun way to learn a foreign language. - Now you have a new playroom, cozy and safe, where children can do almost anything they want and never get hurt. Home is where the magic begins!"
Aragami,"Action, Adventure, Indie","You are Aragami , a vengeful spirit with the power to control the shadows . You’ve been summoned by Yamiko , a girl imprisoned in the city fortress of Kyuryu . Embark on a dark journey full of blood and secrets to discover the truth about aragami. Infiltrate the occupied city of Kyuryu with your supernatural powers and fight Light with Shadow. Uncover a story about twin souls bound together by destiny that surpasses time and memory. Key Features: EMBRACE THE SHADOWS Create your own shadows to become invisible. Teleport from shadow to shadow while you hunt down your targets. Use a wide array of Shadow Powers to creatively dispatch your enemies. CHOOSE YOUR PLAYSTYLE Multiple paths to beat each scenario and approach every situation. Play as a merciless emissary of death or an undetectable ghost. Your story, your choices. BECOME ARAGAMI Fight Kaiho , the army of Light, and rescue Yamiko – the mysterious girl that summoned you and that is the key to your existence."
Judgment,"Action, Adventure","RGG Studio proudly presents Judgment, an action-adventure detective game that follows twisted crime running deep beneath the surface of Tokyo. Play as Takayuki Yagami, a disgraced defense attorney turned detective, as you claw your way through Kamurocho’s underground crime network and uncover the truth behind a string of grisly murders. In this legal thriller, the balance between justice and mercy teeters on the edge. Take advantage of two unique battle styles to take down adversaries in electrifying encounters. Packed with Hollywood-worthy combat sequences and cinematic twists and turns, this twisted tale will keep your mind racing for answers until the very end."
Breathedge,"Action, Adventure, Indie, Simulation","Wishlist new part! About the Game Breathedge is an ironic outer space survival adventure game. Take on the role of a simple guy called the Man who is just carrying his grandpa's ashes to a galactic funeral and suddenly finds himself in the middle of a universal conspiracy. Welcome to Space A massive space hearse suffers a wreck in the deep space, leaving the area filled with debris, coffins, dead passengers and yourself. Survive in this interstellar dump, uncover a global conspiracy, save the princess and don’t break your fingers while tapping the keyboard as you travel around the world (keeping your display on for full immersion is advised). Try to stay alive Space isn’t a joke (despite us trying to prove otherwise) and not dying is a challenge. Lose your progress in spectacular ways, including but not limited to suffocation, freezing, incineration, electrocution, depression, blunt trauma, and more. Litter space with garbage you created It took a long time for our ancestors to develop because they had no electrical tape. You have it and you know how to use it. With this magical artifact, you can create a vast variety of useless objects and throw them out of the airlock! There are also many useful items to be created, but be careful as this may result in completing the game. Fix and Decorate When all your neighbors just hover around in vacuum doing nothing but playing dead, various tools and gears will help you become the worst noisy neighbor ever. Create a unique space station, provide it with oxygen and electricity, install all kinds of equipment from solar panels to a hamster farm, and turn it into a real bachelor pad by stuffing it with furniture mixed with all kinds of junk. Honk! Honk! Yes, you heard that right, it’s your own private car horn! Besides that, you can assemble a small rocket, ride the dead or build a large space shuttle. Transportation helps you move faster, evade obstacles and see the death screen after a head-on collision."
Resident Evil Revelations,"Action, Adventure","Resident Evil ® Revelations returns redefined for PC complete with high quality HD visuals, enhanced lighting effects and an immersive sound experience. This latest version of Resident Evil Revelations will also deliver additional content including a terrifying new enemy, extra difficulty mode, integration with and improvements to Raid Mode. Raid Mode, which was first introduced to the series in the original version of Resident Evil Revelations, sees gamers play online in co-op mode or alone in single player taking on the hordes of enemies across a variety of missions whilst leveling up characters and earning weapon upgrades. New weapons, skill sets, and playable characters including Hunk, take the Raid Mode experience to new depths. The critically acclaimed survival horror title takes players back to the events that took place between Resident Evil ® 4 and Resident Evil ® 5, revealing the truth about the T-Abyss virus. Resident Evil Revelations features series favorites Jill Valentine and Chris Redfield, plus their respective BSAA partners - Parker Luciani and Jessica Sherawat. The action begins on board a supposedly abandoned cruise ship, the ‘Queen Zenobia’, where horrors lurk around every corner, before players head for the mainland and the devastated city of Terragrigia. With limited ammo and weapons available, the race is on to survive the horror of Resident Evil Revelations. Key Features Enhanced visual and aural fidelity – Resident Evil Revelations brings spine-chilling fear complete with high quality HD visuals, enhanced lighting effects and an immersive sound experience. Classic survival horror gameplay returns – the campaign mode’s single player experience sees gamers investigating a range of different locations including the dark confined spaces of a cruise ship and the treacherous snow covered mountains. With limited ammo and weapons, fight off infected enemies that lurk around every corner. Hell just got hotter – Infernal Mode, a new difficulty mode for the re-mastered HD edition, is not just more challenging than Easy and Normal modes but also remixes enemy and item placement, so even those familiar with the game will discover new terrors. Meet the Wall Blister – A brand new enemy, the Wall Blister is a mutated creature borne from the T-Abyss virus that spreads through water, adding to the horrors that lurk around every corner. support – Resident Evil Revelations will take full advantage of with content available to users once the game launches. Earn weapons and custom parts and use them in-game, collect figures that can be used in dioramas and check your stats through the online web service. Improved Raid Mode – New weapons, skill sets, playable characters including Rachel and Hunk and enemies exclusive to this mode are added for the this latest version. Use your equipment – Analyze enemies and investigate areas with the Genesis scanner to reveal hidden items."
Kena: Bridge of Spirits,"Action, Adventure, Indie","Kena: Bridge of Spirits : a story-driven, action adventure combining exploration with fast-paced combat. Untangle the past as Kena, a young Spirit Guide in search of the sacred Mountain Shrine. Help free the spirits trapped in a forgotten village with the help of the Rot, Kena's adorable (yet powerful) spirit companions. Key Features Build your Team Timid and illusive spirits scattered throughout the forest, the Rot maintain balance by decomposing dead and rotting elements. Find and collect the Rot hidden around the village. Unlock new powerful Rot abilities the more of them you discover. Clear the corruption from the village using the Rot's powers. Explore a Charming World Untangle the mystery of the village’s strange curse as you discover secrets and draw on the power from the Spirit Realm to restore this once-majestic world. Explore every nook and cranny of the village to uncover secrets and rewards. Discover collectable Rot Hats to customize your Rot companions. Locate and deliver Spirit Mail left behind by lost spirits to open up new areas. Engage in Fast-Paced Combat Take on Corrupt Spirits, trapped and unable to move on, as they challenge Kena at every turn. Hone your skills with various melee and ranged attacks. Command the powers of your Rot companions with their powerful Rot Actions. Upgrade your abilities and powers to become a skilled Spirit Guide. Now Including all ANNIVERSARY UPDATE Content! Explore brand new features including: New Game+, Trials, Outfits & more! New Game+ : Begin a new adventure after completing the game, starting with all your abilities, upgrades, and Rot as you face new combat encounters, challenges and unique enemies. Spirit Guide Trials : Sharpen your skills and unlock rewards in The Trials, including: Wave Defenses, Obstacle Courses, and the chance to take on key boss-fights again and again. Outfits : Unlock brand new outfits for Kena to wear by mastering The Trials. Charmstones : Discover Charmstones that can be equipped to provide different advantages and disadvantages to customize your playstyle. Enhanced Photo Mode : Includes more fun poses, unique lighting setups, and even a moving camera feature!"
Fran Bow,"Adventure, Indie","Fran Bow is a creepy adventure game that tells the story of Fran, a young girl struggling with a mental disorder and an unfair destiny. After witnessing the gruesome and mysterious loss of her parents, found dismembered at their home, Fran rushes into the woods, together with her only friend, Mr. Midnight, a black cat that Fran had previously received as a present from her parents. In the forest, Fran goes into shock over the loss of her parents and when she recovers, she’s at Oswald Asylum, an oppressive mental institution for children, and Mr. Midnight is nowhere to be found. After having a dream about her beloved cat, Fran decides to escape from the mental institution to find him and go back home to Aunt Grace, her only living relative. Features Story driven creepy psychological horror adventure game. Unique and peculiar hand drawn 2D Art-Style and 2D animation. Self administer medication to open the terrible hidden world that will help solve puzzles and find objects. A big variety of puzzles designed with different levels of difficulty and specifically based on the story. Three arcade inspired mini-games all with different art style to be part of the transitions in the story. Interactive and occasionally playable pet cat, Mr Midnight. 50+ interactive unique characters with unique personalities. Original Soundtrack."
Hyper Light Drifter,"Action, Adventure, Indie, RPG","Echoes of a dark and violent past resonate throughout a savage land, steeped in treasure and blood. Hyper Light Drifter is an action adventure RPG in the vein of the best 16­bit classics, with modernized mechanics and designs on a much grander scale. Drifters of this world are the collectors of forgotten knowledge, lost technologies and broken histories. Our Drifter is haunted by an insatiable illness, traveling further into the lands of Buried Time, hoping to discover a way to quiet the vicious disease. • From each character to subtle background elements, everything is lovingly hand-animated. • Easy to pick up, difficult to master; enemies are vicious and numerous, hazards will easily crush your frail body, and friendly faces remain rare. • Upgrade weapons, learn new skills, discover equipment and traverse a dark, detailed world with branching paths and secrets abound."
Alice: Madness Returns,"Action, Adventure","Eleven years ago a horrific fire took Alice’s family from her and left her mind horrifically scarred. Afterwards she was confined to Rutledge Asylum, where she struggled to confront her demons by slipping further into her fantasy world of Wonderland. Now, after ten years, she has finally secured her release—yet she still bears the heavy psychological burden of that tragic event. With her mind in tatters, she is unable to resolve the fear prompted by her strange memories, dreams, and visions. Perhaps she’ll do better in Wonderland. She always has. She travels there, seeking what the “real” world can’t provide: security, knowledge, and the truth about the past. But in her absence, Wonderland too has suffered. Something has gone horribly wrong, and now a great evil is descending upon what once was her beautiful refuge. Can Alice save Wonderland—and herself—from the madness that consumes them both? Key Features: Intense 3rd person action: Use multiple upgradeable melee weapons, including the explosive Teapot Cannon, the punishing Hobby Horse, and the classic Vorpal Blade. Explore a dark and shattered Wonderland: Encounter familiar but now strange characters, including the Cheshire Cat, the Mad Hatter, the Caterpillar and the Red Queen. Magical abilities: Obtain peculiar abilities in Wonderland such as floating with Alice’s dress, shrinking, or growing to towering sizes in order to crush enemies. Interactive puzzles: Intuitive and rewarding puzzles such as transforming obstacles, musical memories, chess, and picture blocks."
The Hungry Lamb: Traveling in the Late Ming Dynasty,"Adventure, Indie, RPG","Story Background The year is 1632. The Ming Dynasty faces its final days amid internal strife and foreign threats. Years of disasters and harsh policies have triggered famine and rebellion across the land. A bandit named ""Liang"" accepts a job escorting four young girls from Huazhou to Luoyang. He assumes they'll be sold as daughters, but a girl named ""Sui"" reveals the truth: the buyer is a thousand-year-old Swine Demon who devours children annually. Sui's sister was already killed. Sui begs Liang to abandon the mission and help her kill the Demon for revenge. But Liang discovers Sui hides darker secrets... Features A Dark Tale of Redemption —— A story of hope flickering amid famine, trafficking, revenge, and cannibalism in a brutal world. Multiple Choices & Endings —— 160,000 words across 9 different endings where every choice matters. Authentic Visuals —— Realistic art style with researched Ming period clothing, architecture, and environments. Premium Voice Acting —— Full Chinese/Japanese voice acting with renowned actors like Rie Kugimiya and Hanser, plus original music for movie-like experience. Characters Play as Liang, the main character and protagonist. His family has run a successful business for years, but Liang never saw himself as his father’s successor. Instead, he would rather travel the world as a hero and visit as many new locations as possible. The day of the Great Tianqi Explosion in 1626, was the day Liang lost everything. After becoming a refugee with nothing left to his name, he turned to a life of crime. Liang became a bandit and makes a living by killing others for loot. Sui, a nine-year-old mute born in Luoyang. Her sister was killed by the swine demon that also dwells in Luoyang. To avenge her sister’s death, she intentionally let her self-become abducted to get close to the demon and assassinate him. Some, or all of the above statement is false, part of Sui’s untrustworthy nature. Liang’s partner Tongue, the silver-tongued devil who is motivated by greed. When they work jobs together, Liang executes their target's lives while Tongue works on securing loot. A girl from an authoritative family that was abducted by human traffickers. It is said to be a distant relative of governor general Yuan. One of the two sisters from Northern Shannxi who was sold by her parents in a year of turmoil. She is full of vigor and an honest person, who cares deeply about her sister. One of the two sisters from Northern Shannxi, also sold by her parents. She is charming, pure of heart, and is also very dependent on her older sister. An old friend of Liang, who owns an inn outside of Haizhou city. In the fifth year of Chongzhen (1633), a rebel leader came to Jin from Shan and called himself the ""Dashing King"". The swine demon disguised as a wealthy lord that devours young girls on his birthday for thousands of years, according to Sui. He is also the one who has commissioned Liang to escort the four girls to the city of Luoyang. Verified On Steam Deck"
Wasteland 2: Director's Cut,"Adventure, Indie, RPG, Strategy","Digital Deluxe Edition Wasteland 2: Director's Cut Wasteland 2 A free copy of Wasteland 1 - The Original Classic. A free copy of The Bard's Tale. Three digital novellas set in the Wasteland world. Mark Morgan's Wasteland 2 original soundtrack in digital format. An incredible digital concept art book showcasing many of the world's characters and environments. The extras can be found in your Steam installation location for Wasteland 2. (e.g. C:\\Program Files\\Steam\\SteamApps\\common\\Wasteland 2) About the Game From the Producer of the original Fallout comes Wasteland 2, the sequel to the first-ever post-apocalyptic computer RPG. The Wasteland's hellish landscape is waiting for you to make your mark... or die trying. With over 80 hours of gameplay, you will deck out your Desert Ranger squad with the most devastating weaponry this side of the fallout zone, test the limits of your strategy skills, and bring justice to the wasteland. Key Features: One Size Does Not Fit All: Don't feel like finding the key for a door? Pick the lock, bash it down with your boot, or just blow it open! Decision Making... with Consequences: With both short and long term reactivity, your choices ripple outwards, changing the game's events and forever altering the lives of those in the wasteland. Huge & Customizable: Hundreds of characters. Thousands of variations on your Rangers' appearance. Over 150 weapons. No two players will have the same experience. Steam Features: Wasteland 2 supports Cloud Saving so you can sync your saves across multiple computers! Director's Cut New Features: Complete Graphics Overhaul: Rebuilt in Unity 5, Wasteland 2's environments and characters have been updated to take advantage of the latest graphics technologies. Perks &: Quirks: Customize your squad even more! Perks & Quirks are special personality traits you can use to give your characters even more life, with their own unique bonuses... and drawbacks. Precision Strikes: Fire on your enemies and debilitate them with tactical attacks! Cripple a leg to slow an enemy down, fire on their gun to blast it to bits, or aim for the head to knock them senseless – or blow it clean off. Expanded Voice Over: Over 8,000 lines of new voice-over dialog have been added for the game's characters and companions, bringing the Wasteland to life like never before."
Syberia,"Adventure, Casual","Kate Walker, a young ambitious lawyer from New York, is handed what seems a fairly straight forward assignment - a quick stopover to handle the sale of an old automaton factory hidden in the alpine valleys, then straight back home to the US. Little did she imagine when embarking on this task that her life would be turned upside down. On her expedition across Europe, traveling from Western Europe to the far reaches of Eastern Russia, she encounters a host of incredible characters and locations in her attempt to track down Hans, the genius inventor - the final key to unlock the mystery of Syberia. Her voyage across land and time throws all she values into question, while the deal she sets out to sign turns into a pact with destiny. Key Features A gripping script that goes beyond your imagination Rich and intriguing characters with detailed and realistic 3D environments Film-like camera angles, movements and framing Original and creative puzzles (completely integrated into the scenario)"
DSX,"Action, Adventure, Indie, Simulation, Utilities","Take control. Play sharper. Win more. DSX turns your controller into a precision gaming tool that adapts to you. Your DualSense™, DualSense Edge™, or DualShock™ 4 isn’t just hardware. With DSX, it becomes an extension of your instincts. Every button press feels deliberate. Every trigger pull feels tuned. Every haptic pulse reacts exactly how you want it to. Whether you’re competing online or diving into story-driven worlds, DSX gives you smoother inputs, faster reactions, and a deeper sense of connection with your games. DSX helps you play with precision and confidence. Once you’ve felt what real control feels like, you won’t go back. Bluetooth Audio and Haptic Feedback BETA [NOW AVAILABLE] : We've been hard at work implementing BT Audio and Haptic Feedback for the DualSense and DualSense Edge controllers. We're excited to make this BETA available for users to experience this major breakthrough not found anywhere else on PC . [ BT Audio/Haptic Feedback is part of DSX+] What DSX Does for You Play at your best. Create control profiles that match your playstyle. Fine-tune trigger resistance, remap buttons, and make every action count. Feel more. Convert sound, rumble, or inputs into immersive haptics. Let your controller react to the game the way you feel it. React faster. Adaptive trigger modes and responsive feedback help you stay one step ahead in every match. Make it yours. Personalize LEDs, colors, and lighting scenes so your controller fits your setup and your mood. Always improving. DSX keeps evolving with regular updates, new features, and expanded controller support. Supported Controllers DualSense™ Wireless Controller DualSense Edge™ Wireless Controller DualShock™ 4 (USB, Bluetooth, and Adapter) PS VR2 Sense™ Controllers (Partial Support) Access™ Controller (Partial Support) Razer™ Wolverine V2 Pro (PS5 Mode) Razer™ Raiju V3 Pro (PS5 Mode)"
Thrive: Heavy Lies The Crown,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy","Wishlist and Follow us About the Game Thrive: Heavy Lies the Crown is a medieval fantasy city-builder with real-time combat and weighty decision-making. As a new ruler, you and the survivors of Aldamor travel to the curious land of Nysamor in search of a new home. Together, you will work to raise up a great kingdom, and define your legacy. Thrive: Heavy Lies the Crown offers a fully-realized single-player experience for solo play, or the ability to play in up-to-four-player multiplayer. But choose wisely – in Nysamor, every choice has consequences, and these consequences can dictate the very fate of your kingdom... Assign your subjects tasks – collect resources, build structures, explore the wilds, and secure your kingdom’s reputation – via trade or by the sword. As your settlement and influence grows, you’ll need to make tough decisions that can permanently alter the lives of your people, your settlement, and the world around you. A Benevolent ruler shows compassion for the earth and its kin. A Tyrannical ruler takes pleasure in exploitation and torture. What will your choices say about you? Will you conquer your enemies or unite against common foes? Will you embrace the magical forces of the Waelgrim or try to control it? How will you fulfill your destiny? Each decision you make has long lasting consequences for your reign, and takes you ever further down the path of Benevolence or Tyranny. Thrive's narrative event system immerses you in the land of Nysamor, discovering the true nature of the Waelgrim, while ultimately defining your rule. Whether your reign is Benevolent or Tyrannical, both paths have their advantages – and challenges. Be mindful of the legacy you want to leave behind. Full of lush fields and diverse terrain, Nysamor is a beautiful, unknown land, rich in possibility and potential conflict. Compete for resources across a 4X-inspired World Map with numerous AI villages and kingdoms. Neighboring villages will respond based on their own allegiances, whether that is staying true to the reign of Wyrmaxa, or being slowly swayed, through intimidation or compassion, toward the path you tread. Adventure solo or with 1-4 players. Siege castles, plunder trade routes, or confront fantastical Waelgrim creatures in intense RTS combat, alongside or against other players or AI. But be warned – soldiers need food, water and more to fight. The cost of war can take a heavy toll… Place city structures, set up road networks, build defenses, and assemble a powerful military to exert your will. Build your legacy through effective planning, advancement and a detailed tech tree. Gather resources, harvest production areas, and expand your lands. Trade with or take the fight to other players or AI factions. Do what you must to ensure your kingdom can survive the harsh realities of medieval life. Join the conversation on the official Thrive: Heavy Lies the Crown Discord."
Strange Brigade,"Action, Adventure","Digital Deluxe Edition Upgrade your Strange Brigade experience with the DELUXE EDITION, which includes the game, the Season Pass, and the Secret Service Weapons Pack! The Season Pass will include brand new campaign missions, playable characters, character skins, weapons, weapon skins + much more! About the Game WILL YOU ANSWER THE CALL TO ADVENTURE? Egypt, 1930's. Erased from ancient history and buried in a nameless tomb for 4,000 years, Seteki the Witch Queen has risen once again. Only one troop of daring heroes can stand against the fearsome power of Seteki and her army of mummified monstrosities: The Strange Brigade! Explore remarkable ruins, solve perilous puzzles and uncover tantalising treasure while blasting your way through an array of undead enemies in thrilling third-person action that’s certain to bring out your inner adventurer! ONE GRIPPING ADVENTURE Hunt the foul Seteki through a rip-roaring campaign filled with dangerous dig sites, prodigious pyramids and crumbling caves packed with bountiful foes to send back to the afterlife. Explore alone or team up in 2-4 player online co-op! FOUR FEARLESS FORTUNE HUNTERS Travel the ancient world as one of four dashing agents trained to tackle the supernatural. Unleash devastating magical powers and unload powerful prototype weapons such as the fire-spitting Krakatoa, the ice cold Chill Burster, and the brain-busting Blunderbuss! A LEGION OF MALEVOLENT MONSTERS Seteki is not the only mythological menace to have awoken … she’s brought an army of loyal beasts with her! Face her many nefarious ne’er-do-wells, including moaning mummies, fire-breathing assassins, armour-plated minotaurs, giant scorpions and much, much worse! TONS OF TERRIFYING TRAPS Keep an eye on your environment to find creative ways to boff your enemies! Decapitate the undead with spinning blades, fry them to a crisp with fire traps, crush them with a well-placed boulder and more. You wouldn’t set them on your team mates … would you? OODLES OF PUZZLING PREDICAMENTS Keep those peepers peeled for suspicious clues, secret entrances and ancient contraptions that need re-awakening! Who knows what alluring treasures and buried riches await you on the other side… MESMERISING MODES Challenge yourself in two extra modes for 1-4 players. Try the fast-paced Score Attack where speed meets style, or take on wave after wave of deadly foes in the action-packed Horde mode!"
ABZU,"Adventure, Casual, Indie, Simulation","From the art director of Journey® and Flower®, ABZÛ is a beautiful underwater adventure that evokes the dream of diving. Immerse yourself in a vibrant ocean world full of mystery and bursting with color and life. Perform fluid acrobatics as the Diver using graceful swimming controls. Discover hundreds of unique species based on real creatures and form a powerful connection with the abundant sea life. Interact with schools of thousands of fish that procedurally respond to you, each other, and predators. Linger in epic seascapes and explore aquatic ecosystems modeled with unprecedented detail. Descend into the heart of the ocean where ancient secrets lie forgotten. But beware, dangers lurk in the depths. ""ABZÛ"" is from the oldest mythologies; AB, meaning water, and ZÛ, meaning to know. ABZÛ is the ocean of wisdom."
Wizard of Legend,"Action, Adventure, Indie","Wizard of Legend is a fast paced dungeon crawler with rogue-like elements that emphasizes dynamic magical combat. Quick movement and even quicker use of spells will allow you to chain spells together to unleash devastating combinations against your enemies! Gameplay Battle your way through each challenge by defeating powerful conjured enemies! Collect valuable spells and relics and build up your magical arsenal to fit your playstyle! Achieve mastery over magic by chaining spells together to create devastating combinations! Face and defeat council members in magical combat to become a Wizard of Legend! Tons of Unlockables Unlock over a hundred unique spells and discover powerful spell combinations and synergies! A wide variety of elemental spells allows you to create a hand best suited to your playstyle. Dive head first into the fray or stand back and let your minions do the work for you, the choice is yours! Story Every year in the Kingdom of Lanova, the Council of Magic holds the Chaos Trials, a gauntlet of magical challenges put forth by its strongest members. Contestants that successfully complete all of the challenges and demonstrate superior wizardry earn the right to become a Wizard of Legend! Local Co-op Grab a friend and tackle the Chaos Trials together in Wizard of Legend's couch co-op mode! Jump head first into the action in an all out offensive or strategically equip your wizards with spells and items that compliment each other's playstyle. The battle is not over when your friend is downed in battle. Defeat multiple enemies in a display of skill to grant your partner a chance to rejoin the battle! Features Fast paced spell slinging combat Use powerful spell combinations to destroy your enemies Procedurally generated levels mean a new challenge every time Over 100 unique spells and items to fit your playstyle Local multiplayer allows you to play with or against a friend Full gamepad and controller support"
Trine 3: The Artifacts of Power,"Action, Adventure, Indie","JOIN US ON DISCORD About the Game Experience a fairytale world of breathtaking sceneries and face a myriad of physics-based puzzles, wonderful contraptions, dangerous foes and enchanting creatures. Trine 3: The Artifacts of Power is a platforming game of action, puzzles and adventure, and the sequel to the award winning Trine and Trine 2. Reunite with the familiar heroes - Pontius the Knight, Amadeus the Wizard and Zoya the Thief in an all-new adventure, now for the first time in full 3D! Playable in single-player or in co-up with up to three players, both locally or online. Online and Local Co-op Up to three players can play online and local co-up. Any mix is possible (for example 2 local, 1 online) and you can switch from singleplayer to multiplayer and vice versa. Play with your Steam friends and explore the secrets together! The Lost Pages The ultimate test to your skills, the Lost Pages feature the most incredible contraptions, character-driven design, and ridiculous puzzles. Are you skilled enough to unlock all the Lost Pages? Soundtrack Award-winning composer Ari Pulkkinen returns for an amazing fantasy soundtrack! Fantastic Fantasy Adventure through breathtakingly beautiful landscapes in an enchanting fairytale world, and for the first time ever explore the Trine world in a full 3D setting, allowing you to go check out all the nooks and crannies that have been so alluring in the past. Full Language Support for English, French, German, Spanish, Russian, Japanese, and Brazilian-Portuguese The game features full language support for English, French, German, Spanish, Russian, Japanese, and Brazilian-Portuguese (voice + subtitles on/off), and an additional number of languages for subtitles. Amadeus the Wizard, Pontius the Knight, and Zoya the Thief have slowly come to the conclusion that having their lives commandeered by a powerful magical artifact is not a desirable state of existence on a permanent basis. The heroes try to return their extraordinary gifts to the Artifact called Trine, and so they meddle with powers beyond their understanding: Trine shatters and a heartless ancient sorcerer escapes. With only a broken artifact to guide them, the heroes must try and repair the damage they've caused... or the damage that might yet be done. A married wizard and father of triplets, Amadeus can summon mystical boxes and move obstacles with his spells. Perhaps he is not the most skilled or fearsome of wizards, but the heroes rely on Amadeus on all things concerning magic and legends. Amadeus has always liked adventures more in theory rather than in practice, preferring the fame and tales of his deeds to the actual doing of said deeds, which often deprive him of naps and holidays with his family. The brave protector of the realm with a big heart, Pontius is a champion to anyone in need, regardless of their station. Pontius was knighted by the King himself, and he has a red cape to prove it! He is a frontline hero who is always going headlong first into battle with his trusty shield and sword. In addition to passionately fighting on the side of Goodness and Justice, Pontius has an equal love for good food and drink, and dreams of one day settling down on a simple farm, where he could protect his corner of the world, while growing enormous potatoes and pumpkins. And eat pie. Clever and elusive, Zoya gets in and out of tricky situations all the time. She brings her bow and arrows to a fight, but she also has a grappling hook that can be useful in various thiev... situations. Zoya appreciates all the adventures she has had with with Trine, due to all the trinkets she's been able to collect on the way, but she is becoming anxious to get back on her own. Being on call for Trine is nowhere near as thrilling as her old life as a purveyor of rare and precious items."
What Remains of Edith Finch,"Adventure, Indie","Winner of Best Game at the 2018 BAFTA Game Awards, as well as Best Narrative awards at the GDC 2018 Choice Awards, 2018 SXSW Gaming Awards, and The Game Awards 2017, What Remains of Edith Finch is a collection of strange tales about a family in Washington state. As Edith, you’ll explore the colossal Finch house, searching for stories as she explores her family history and tries to figure out why she's the last one in her family left alive. Each story you find lets you experience the life of a new family member on the day of their death, with stories ranging from the distant past to the present day. The gameplay and tone of the stories are as varied as the Finches themselves. The only constants are that each is played from a first-person perspective and that each story ends with that family member's death. Ultimately, it's a game about what it feels like to be humbled and astonished by the vast and unknowable world around us. Created by Giant Sparrow, the team behind the first-person painting game The Unfinished Swan ."
